case_id,client_id,client_risk_rating,last_review_date,next_due_date,review_completed_date,status,documents_complete,is_open,days_late
700001,CLI02066,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700002,CLI00899,Low,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700003,CLI01959,Low,2024-09-30,2025-09-30,2025-09-26,Completed-OnTime,True,False,0.0
700004,CLI02601,Medium,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700005,CLI03246,Medium,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700006,CLI00040,Low,2024-09-30,2025-10-03,2025-09-28,Completed-OnTime,False,False,0.0
700007,CLI03529,Low,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700008,CLI00562,High,2024-09-30,2025-09-30,2025-09-28,Completed-OnTime,True,False,0.0
700009,CLI03079,Medium,2024-09-30,2025-10-04,2025-09-29,Completed-OnTime,True,False,0.0
700010,CLI03384,Medium,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700011,CLI00895,High,2024-09-30,2025-10-03,2025-10-01,Completed-OnTime,True,False,0.0
700012,CLI00018,Low,2024-09-30,2025-10-02,2025-09-29,Completed-OnTime,True,False,0.0
700013,CLI00077,Low,2024-09-30,2025-10-02,2025-11-07,Completed-Late,True,False,36.0
700014,CLI03160,Low,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700015,CLI01369,High,2024-09-30,2025-10-03,2025-10-01,Completed-OnTime,True,False,0.0
700016,CLI00926,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700017,CLI02708,Low,2024-09-30,2025-10-04,2025-10-01,Completed-OnTime,True,False,0.0
700018,CLI03331,Low,2024-09-30,2025-10-01,2025-10-01,Completed-OnTime,True,False,0.0
700019,CLI01389,Low,2024-09-30,2025-10-03,2025-09-28,Completed-OnTime,False,False,0.0
700020,CLI02202,Low,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700021,CLI02311,Medium,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700022,CLI02482,Medium,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700023,CLI03161,Low,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700024,CLI00874,Medium,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,False,False,0.0
700025,CLI02437,Medium,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700026,CLI02775,Low,2024-09-30,2025-09-30,2025-09-30,Completed-OnTime,True,False,0.0
700027,CLI02560,Low,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,False,False,0.0
700028,CLI03127,Medium,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,False,False,0.0
700029,CLI01795,Low,2024-09-30,2025-09-30,2025-09-27,Completed-OnTime,True,False,0.0
700030,CLI02787,High,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700031,CLI01554,Medium,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700032,CLI01974,Low,2024-09-30,2025-09-30,2025-09-30,Completed-OnTime,True,False,0.0
700033,CLI02179,Medium,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700034,CLI03750,Medium,2024-09-30,2025-10-02,2025-09-30,Completed-OnTime,True,False,0.0
700035,CLI00596,Medium,2024-09-30,2025-10-01,2025-09-26,Completed-OnTime,True,False,0.0
700036,CLI03860,Medium,2024-09-30,2025-10-02,2025-09-30,Completed-OnTime,True,False,0.0
700037,CLI03574,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700038,CLI03331,Low,2024-09-30,2025-09-30,2025-09-25,Completed-OnTime,True,False,0.0
700039,CLI01633,Medium,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700040,CLI00205,Low,2024-09-30,2025-09-30,2025-09-28,Completed-OnTime,True,False,0.0
700041,CLI03382,Low,2024-09-30,2025-09-30,2025-09-29,Completed-OnTime,True,False,0.0
700042,CLI01994,Medium,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700043,CLI00347,Low,2024-09-30,2025-10-02,2025-09-30,Completed-OnTime,True,False,0.0
700044,CLI01661,Medium,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700045,CLI01361,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700046,CLI02130,Low,2024-09-30,2025-10-01,2025-10-01,Completed-OnTime,True,False,0.0
700047,CLI02405,Low,2024-09-30,2025-10-03,2025-10-03,Completed-OnTime,True,False,0.0
700048,CLI01824,Low,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700049,CLI00548,Low,2024-09-30,2025-10-04,2025-10-02,Completed-OnTime,False,False,0.0
700050,CLI03944,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700051,CLI02116,Low,2024-09-30,2025-10-01,2025-09-27,Completed-OnTime,True,False,0.0
700052,CLI00136,Medium,2024-09-30,2025-10-02,2025-09-28,Completed-OnTime,True,False,0.0
700053,CLI03205,Low,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700054,CLI03812,Medium,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700055,CLI02191,Low,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700056,CLI01612,Medium,2024-09-30,2025-09-30,2025-09-25,Completed-OnTime,True,False,0.0
700057,CLI01841,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700058,CLI00045,Low,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700059,CLI01172,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700060,CLI02446,High,2024-09-30,2025-10-03,2025-09-28,Completed-OnTime,True,False,0.0
700061,CLI02927,Low,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700062,CLI02516,Low,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700063,CLI02841,Medium,2024-09-30,2025-10-01,2025-09-27,Completed-OnTime,True,False,0.0
700064,CLI02768,Low,2024-09-30,2025-09-30,2025-09-29,Completed-OnTime,True,False,0.0
700065,CLI02619,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700066,CLI02152,Medium,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700067,CLI02279,High,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700068,CLI03639,Low,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700069,CLI00262,Low,2024-09-30,2025-09-30,2025-09-29,Completed-OnTime,True,False,0.0
700070,CLI02968,Low,2024-09-30,2025-10-04,2025-09-29,Completed-OnTime,True,False,0.0
700071,CLI03423,Medium,2024-09-30,2025-09-30,2025-09-30,Completed-OnTime,True,False,0.0
700072,CLI01697,Medium,2024-09-30,2025-10-03,2025-10-03,Completed-OnTime,True,False,0.0
700073,CLI01227,Medium,2024-09-30,2025-10-04,2025-10-02,Completed-OnTime,True,False,0.0
700074,CLI01415,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700075,CLI01561,Medium,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700076,CLI03141,Medium,2024-09-30,2025-10-04,2025-09-29,Completed-OnTime,True,False,0.0
700077,CLI00811,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700078,CLI01184,Low,2024-09-30,2025-10-02,2025-09-28,Completed-OnTime,True,False,0.0
700079,CLI00707,High,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700080,CLI03397,Low,2024-09-30,2025-10-03,2025-10-01,Completed-OnTime,True,False,0.0
700081,CLI02309,Low,2024-09-30,2025-10-02,2025-09-28,Completed-OnTime,True,False,0.0
700082,CLI03424,Low,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700083,CLI01386,Low,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700084,CLI02636,Low,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700085,CLI01045,Medium,2024-09-30,2025-10-04,2025-10-01,Completed-OnTime,True,False,0.0
700086,CLI01780,Low,2024-09-30,2025-10-04,2025-10-01,Completed-OnTime,True,False,0.0
700087,CLI02548,High,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700088,CLI01012,Low,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700089,CLI01237,Medium,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700090,CLI00551,Medium,2024-09-30,2025-10-03,2025-09-29,Completed-OnTime,True,False,0.0
700091,CLI00866,Medium,2024-09-30,2025-10-02,2025-10-05,Completed-Late,True,False,3.0
700092,CLI02352,Low,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700093,CLI01951,Medium,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700094,CLI03064,Medium,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700095,CLI00272,Low,2024-09-30,2025-10-02,2025-09-29,Completed-OnTime,True,False,0.0
700096,CLI02119,Low,2024-09-30,2025-10-03,,Open,True,True,
700097,CLI03435,Low,2024-09-30,2025-10-03,2025-10-01,Completed-OnTime,True,False,0.0
700098,CLI02657,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700099,CLI00173,Low,2024-09-30,2025-09-30,2025-09-27,Completed-OnTime,True,False,0.0
700100,CLI02663,Low,2024-09-30,2025-10-04,2025-10-01,Completed-OnTime,True,False,0.0
700101,CLI01158,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700102,CLI02330,Low,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700103,CLI03285,High,2024-09-30,2025-10-01,2025-09-27,Completed-OnTime,True,False,0.0
700104,CLI01559,Medium,2024-09-30,2025-10-04,2025-10-02,Completed-OnTime,True,False,0.0
700105,CLI01276,Low,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700106,CLI02737,Medium,2024-09-30,2025-10-04,2025-09-30,Completed-OnTime,True,False,0.0
700107,CLI00544,Low,2024-09-30,2025-10-01,2025-09-29,Completed-OnTime,True,False,0.0
700108,CLI03389,Medium,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700109,CLI02948,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700110,CLI00605,Low,2024-09-30,2025-10-02,2025-10-01,Completed-OnTime,True,False,0.0
700111,CLI01865,Medium,2024-09-30,2025-10-02,2025-09-29,Completed-OnTime,True,False,0.0
700112,CLI03006,Medium,2024-09-30,2025-10-03,2025-09-28,Completed-OnTime,True,False,0.0
700113,CLI01465,Low,2024-09-30,2025-09-30,2025-09-30,Completed-OnTime,True,False,0.0
700114,CLI02455,Low,2024-09-30,2025-10-03,2025-10-03,Completed-OnTime,True,False,0.0
700115,CLI01894,Medium,2024-09-30,2025-10-01,2025-10-01,Completed-OnTime,True,False,0.0
700116,CLI02488,Medium,2024-09-30,2025-10-01,2025-09-30,Completed-OnTime,True,False,0.0
700117,CLI02171,Medium,2024-09-30,2025-10-03,2025-10-02,Completed-OnTime,True,False,0.0
700118,CLI02275,Medium,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700119,CLI00570,High,2024-09-30,2025-09-30,2025-09-26,Completed-OnTime,True,False,0.0
700120,CLI00899,Low,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700121,CLI03783,Medium,2024-09-30,2025-10-03,2025-09-30,Completed-OnTime,True,False,0.0
700122,CLI03529,Low,2024-09-30,2025-09-30,2025-09-25,Completed-OnTime,True,False,0.0
700123,CLI03119,Low,2024-09-30,2025-10-02,2025-10-02,Completed-OnTime,True,False,0.0
700124,CLI00206,Medium,2024-09-30,2025-10-03,2025-10-03,Completed-OnTime,True,False,0.0
700125,CLI02066,Low,2024-09-30,2025-10-04,2025-10-04,Completed-OnTime,True,False,0.0
700126,CLI02495,High,2024-09-30,2025-10-04,2025-10-03,Completed-OnTime,True,False,0.0
700127,CLI00685,Low,2024-09-30,2025-10-01,2025-09-28,Completed-OnTime,True,False,0.0
700128,CLI03445,Low,2024-09-30,2025-09-30,2025-09-25,Completed-OnTime,True,False,0.0
700129,CLI02685,Medium,2024-09-30,2025-09-30,2025-09-25,Completed-OnTime,True,False,0.0
