holding_id,portfolio_id,client_id,mandate_type,asset_class,weight_pct,guideline_min_pct,guideline_max_pct,as_of_date,within_band
1300001,PORT00001,CLI03590,Aggressive Growth,Equity,71.96,65,95,2026-08-31,True
1300002,PORT00001,CLI03590,Aggressive Growth,Bond,12.0,0,25,2026-08-31,True
1300003,PORT00001,CLI03590,Aggressive Growth,Cash,4.69,0,10,2026-08-31,True
1300004,PORT00002,CLI00688,Aggressive Growth,Equity,80.41,65,95,2026-08-31,True
1300005,PORT00002,CLI00688,Aggressive Growth,Bond,16.09,0,25,2026-08-31,True
1300006,PORT00002,CLI00688,Aggressive Growth,Cash,2.06,0,10,2026-08-31,True
1300007,PORT00003,CLI03469,Fixed Income Core,Equity,8.69,0,10,2026-08-31,True
1300008,PORT00003,CLI03469,Fixed Income Core,Bond,96.66,80,100,2026-08-31,True
1300009,PORT00003,CLI03469,Fixed Income Core,Cash,4.49,0,10,2026-08-31,True
1300010,PORT00004,CLI03792,Conservative Income,Equity,3.16,0,30,2026-08-31,True
1300011,PORT00004,CLI03792,Conservative Income,Bond,95.56,50,90,2026-08-31,False
1300012,PORT00004,CLI03792,Conservative Income,Cash,17.87,0,20,2026-08-31,True
1300013,PORT00005,CLI00765,Aggressive Growth,Equity,61.57,65,95,2026-08-31,False
1300014,PORT00005,CLI00765,Aggressive Growth,Bond,6.49,0,25,2026-08-31,True
1300015,PORT00005,CLI00765,Aggressive Growth,Cash,4.4,0,10,2026-08-31,True
1300016,PORT00006,CLI01431,Aggressive Growth,Equity,79.67,65,95,2026-08-31,True
1300017,PORT00006,CLI01431,Aggressive Growth,Bond,16.93,0,25,2026-08-31,True
1300018,PORT00006,CLI01431,Aggressive Growth,Cash,8.08,0,10,2026-08-31,True
1300019,PORT00007,CLI01352,Aggressive Growth,Equity,74.81,65,95,2026-08-31,True
1300020,PORT00007,CLI01352,Aggressive Growth,Bond,9.52,0,25,2026-08-31,True
1300021,PORT00007,CLI01352,Aggressive Growth,Cash,4.15,0,10,2026-08-31,True
1300022,PORT00008,CLI02002,Fixed Income Core,Equity,6.91,0,10,2026-08-31,True
1300023,PORT00008,CLI02002,Fixed Income Core,Bond,90.7,80,100,2026-08-31,True
1300024,PORT00008,CLI02002,Fixed Income Core,Cash,5.0,0,10,2026-08-31,True
1300025,PORT00009,CLI02802,Fixed Income Core,Equity,6.96,0,10,2026-08-31,True
1300026,PORT00009,CLI02802,Fixed Income Core,Bond,103.75,80,100,2026-08-31,False
1300027,PORT00009,CLI02802,Fixed Income Core,Cash,6.07,0,10,2026-08-31,True
1300028,PORT00010,CLI01854,Fixed Income Core,Equity,8.19,0,10,2026-08-31,True
1300029,PORT00010,CLI01854,Fixed Income Core,Bond,105.92,80,100,2026-08-31,False
1300030,PORT00010,CLI01854,Fixed Income Core,Cash,6.13,0,10,2026-08-31,True
1300031,PORT00011,CLI02578,Aggressive Growth,Equity,73.93,65,95,2026-08-31,True
1300032,PORT00011,CLI02578,Aggressive Growth,Bond,18.69,0,25,2026-08-31,True
1300033,PORT00011,CLI02578,Aggressive Growth,Cash,3.1,0,10,2026-08-31,True
1300034,PORT00012,CLI01778,Fixed Income Core,Equity,8.39,0,10,2026-08-31,True
1300035,PORT00012,CLI01778,Fixed Income Core,Bond,86.98,80,100,2026-08-31,True
1300036,PORT00012,CLI01778,Fixed Income Core,Cash,1.8,0,10,2026-08-31,True
1300037,PORT00013,CLI00953,Aggressive Growth,Equity,84.54,65,95,2026-08-31,True
1300038,PORT00013,CLI00953,Aggressive Growth,Bond,18.65,0,25,2026-08-31,True
1300039,PORT00013,CLI00953,Aggressive Growth,Cash,0.0,0,10,2026-08-31,True
1300040,PORT00014,CLI01403,Conservative Income,Equity,18.7,0,30,2026-08-31,True
1300041,PORT00014,CLI01403,Conservative Income,Bond,71.19,50,90,2026-08-31,True
1300042,PORT00014,CLI01403,Conservative Income,Cash,27.45,0,20,2026-08-31,False
1300043,PORT00015,CLI03759,Fixed Income Core,Equity,4.77,0,10,2026-08-31,True
1300044,PORT00015,CLI03759,Fixed Income Core,Bond,93.49,80,100,2026-08-31,True
1300045,PORT00015,CLI03759,Fixed Income Core,Cash,3.81,0,10,2026-08-31,True
1300046,PORT00016,CLI03883,Fixed Income Core,Equity,6.74,0,10,2026-08-31,True
1300047,PORT00016,CLI03883,Fixed Income Core,Bond,97.86,80,100,2026-08-31,True
1300048,PORT00016,CLI03883,Fixed Income Core,Cash,7.36,0,10,2026-08-31,True
1300049,PORT00017,CLI03177,Aggressive Growth,Equity,78.26,65,95,2026-08-31,True
1300050,PORT00017,CLI03177,Aggressive Growth,Bond,0.0,0,25,2026-08-31,True
1300051,PORT00017,CLI03177,Aggressive Growth,Cash,1.85,0,10,2026-08-31,True
1300052,PORT00018,CLI02878,Aggressive Growth,Equity,76.98,65,95,2026-08-31,True
1300053,PORT00018,CLI02878,Aggressive Growth,Bond,19.69,0,25,2026-08-31,True
1300054,PORT00018,CLI02878,Aggressive Growth,Cash,8.95,0,10,2026-08-31,True
1300055,PORT00019,CLI02804,Conservative Income,Equity,24.42,0,30,2026-08-31,True
1300056,PORT00019,CLI02804,Conservative Income,Bond,62.29,50,90,2026-08-31,True
1300057,PORT00019,CLI02804,Conservative Income,Cash,8.43,0,20,2026-08-31,True
1300058,PORT00020,CLI00978,Aggressive Growth,Equity,72.4,65,95,2026-08-31,True
1300059,PORT00020,CLI00978,Aggressive Growth,Bond,10.76,0,25,2026-08-31,True
1300060,PORT00020,CLI00978,Aggressive Growth,Cash,5.2,0,10,2026-08-31,True
1300061,PORT00021,CLI02081,Balanced Growth,Equity,52.9,40,65,2026-08-31,True
1300062,PORT00021,CLI02081,Balanced Growth,Bond,35.98,25,50,2026-08-31,True
1300063,PORT00021,CLI02081,Balanced Growth,Cash,7.93,0,15,2026-08-31,True
1300064,PORT00022,CLI00917,Balanced Growth,Equity,47.42,40,65,2026-08-31,True
1300065,PORT00022,CLI00917,Balanced Growth,Bond,37.44,25,50,2026-08-31,True
1300066,PORT00022,CLI00917,Balanced Growth,Cash,7.74,0,15,2026-08-31,True
1300067,PORT00023,CLI01515,Conservative Income,Equity,12.09,0,30,2026-08-31,True
1300068,PORT00023,CLI01515,Conservative Income,Bond,75.31,50,90,2026-08-31,True
1300069,PORT00023,CLI01515,Conservative Income,Cash,6.71,0,20,2026-08-31,True
1300070,PORT00024,CLI03071,Fixed Income Core,Equity,6.99,0,10,2026-08-31,True
1300071,PORT00024,CLI03071,Fixed Income Core,Bond,85.22,80,100,2026-08-31,True
1300072,PORT00024,CLI03071,Fixed Income Core,Cash,2.66,0,10,2026-08-31,True
1300073,PORT00025,CLI00116,Conservative Income,Equity,3.97,0,30,2026-08-31,True
1300074,PORT00025,CLI00116,Conservative Income,Bond,72.61,50,90,2026-08-31,True
1300075,PORT00025,CLI00116,Conservative Income,Cash,14.56,0,20,2026-08-31,True
