action_id,exception_id,control_id,owner,reason_code,detail,identified_date,target_closure_date,days_to_target,status_vs_sla,remediation_priority
REM-9000000,9000007,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 111 min after execution (limit 30 min),2025-09-11,2025-10-01,-339,Overdue,Medium
REM-9000001,9000024,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 63 min after execution (limit 30 min),2025-10-15,2025-11-04,-305,Overdue,Medium
REM-9000002,9000025,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 64 min after execution (limit 30 min),2025-10-17,2025-11-06,-303,Overdue,Medium
REM-9000003,9000030,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 46 min after execution (limit 30 min),2025-10-31,2025-11-20,-289,Overdue,Medium
REM-9000004,9000033,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 173 min after execution (limit 30 min),2025-11-13,2025-12-03,-276,Overdue,Medium
REM-9000005,9000038,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 161 min after execution (limit 30 min),2025-11-24,2025-12-14,-265,Overdue,Medium
REM-9000006,9000053,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 171 min after execution (limit 30 min),2025-12-29,2026-01-18,-230,Overdue,Medium
REM-9000007,9000061,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 76 min after execution (limit 30 min),2026-01-22,2026-02-11,-206,Overdue,Medium
REM-9000008,9000091,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 80 min after execution (limit 30 min),2026-04-15,2026-05-05,-123,Overdue,Medium
REM-9000009,9000097,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 192 min after execution (limit 30 min),2026-04-29,2026-05-19,-109,Overdue,Medium
REM-9000010,9000098,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 117 min after execution (limit 30 min),2026-04-29,2026-05-19,-109,Overdue,Medium
REM-9000011,9000099,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 67 min after execution (limit 30 min),2026-05-01,2026-05-21,-107,Overdue,Medium
REM-9000012,9000115,TC-01,"J. Farrow, Trading Ops",ALLOC_LATE,Allocated 160 min after execution (limit 30 min),2026-05-08,2026-05-28,-100,Overdue,Medium
