review_id,portfolio_id,review_due_date,review_completed_date,status
1500001,PORT00001,2026-07-10,2026-07-02,OnTime
1500002,PORT00002,2025-11-18,2025-11-16,OnTime
1500003,PORT00003,2025-12-26,2026-01-24,Late
1500004,PORT00004,2025-12-07,2025-11-28,OnTime
1500005,PORT00005,2025-12-15,2025-12-06,OnTime
1500006,PORT00006,2026-08-17,2026-08-16,OnTime
1500007,PORT00007,2026-01-30,2026-01-25,OnTime
1500008,PORT00008,2026-01-11,2026-01-09,OnTime
1500009,PORT00009,2026-04-10,2026-04-05,OnTime
1500010,PORT00010,2025-12-18,2025-12-13,OnTime
1500011,PORT00011,2025-09-08,2025-09-04,OnTime
1500012,PORT00012,2025-09-25,2025-09-19,OnTime
1500013,PORT00013,2026-07-05,2026-06-30,OnTime
1500014,PORT00014,2026-07-03,2026-07-01,OnTime
1500015,PORT00015,2026-05-17,2026-05-17,OnTime
1500016,PORT00016,2026-01-08,2026-01-04,OnTime
1500017,PORT00017,2026-05-31,2026-05-27,OnTime
1500018,PORT00018,2026-01-01,2025-12-29,OnTime
1500019,PORT00019,2025-10-05,2025-09-27,OnTime
1500020,PORT00020,2025-11-03,2025-10-25,OnTime
1500021,PORT00021,2026-07-24,2026-07-15,OnTime
1500022,PORT00022,2025-10-13,2025-10-08,OnTime
1500023,PORT00023,2025-12-19,2025-12-13,OnTime
1500024,PORT00024,2026-07-24,2026-07-22,OnTime
1500025,PORT00025,2026-05-19,2026-05-13,OnTime
1500026,PORT00026,2026-01-03,2026-02-05,Late
1500027,PORT00027,2025-10-29,2025-10-27,OnTime
1500028,PORT00028,2026-04-10,2026-04-01,OnTime
1500029,PORT00029,2025-12-08,2025-12-08,OnTime
1500030,PORT00030,2026-04-03,2026-03-26,OnTime
1500031,PORT00031,2025-09-23,2025-09-16,OnTime
1500032,PORT00032,2026-06-22,2026-06-14,OnTime
1500033,PORT00033,2025-10-16,2025-10-12,OnTime
1500034,PORT00034,2025-10-01,2025-09-27,OnTime
1500035,PORT00035,2026-08-31,2026-08-30,OnTime
1500036,PORT00036,2025-09-29,2025-09-23,OnTime
1500037,PORT00037,2026-01-07,2026-01-01,OnTime
1500038,PORT00038,2025-12-19,2025-12-14,OnTime
1500039,PORT00039,2026-06-14,2026-07-08,Late
1500040,PORT00040,2026-06-18,2026-06-17,OnTime
1500041,PORT00041,2025-09-17,2025-09-16,OnTime
1500042,PORT00042,2026-01-31,2026-01-28,OnTime
1500043,PORT00043,2025-11-26,2025-11-26,OnTime
1500044,PORT00044,2026-02-09,2026-02-04,OnTime
1500045,PORT00045,2025-09-03,2025-08-28,OnTime
1500046,PORT00046,2026-07-31,2026-07-31,OnTime
1500047,PORT00047,2026-03-24,2026-03-15,OnTime
1500048,PORT00048,2026-06-12,2026-06-03,OnTime
1500049,PORT00049,2025-12-15,2025-12-09,OnTime
1500050,PORT00050,2026-05-25,2026-05-20,OnTime
1500051,PORT00051,2025-10-21,2025-11-09,Late
1500052,PORT00052,2025-10-01,2025-09-22,OnTime
1500053,PORT00053,2026-02-15,2026-02-10,OnTime
