trade_id,trade_date,account_id,client_segment,security_id,asset_class,side,quantity,execution_price,benchmark_price,order_block_id,allocation_pct,desk,trader_id,execution_timestamp,allocation_timestamp,dq_flag_null_required_field,dq_flag_out_of_range,allocation_lag_minutes,price_dev_bps
100001,2025-09-01,ACC00165,Family Office,SEC0370,Bond,BUY,1974.0,487.9933,488.055,BLK33333,1.0,Fixed Income,TR009,2025-09-01 12:07:00,2025-09-01 12:22:00,False,False,15.0,-1.2642017805376502
100002,2025-09-01,ACC00630,Retail-Advisory,SEC0142,ETF,SELL,8923.0,121.3005,121.347,BLK33334,0.2599,Alternatives,TR019,2025-09-01 14:48:00,2025-09-01 14:54:00,False,False,6.0,-3.831985957625212
100003,2025-09-01,ACC00330,Family Office,SEC0387,ETF,SELL,15589.0,105.3884,105.373,BLK33334,0.4697,Equity,TR018,2025-09-01 12:09:00,2025-09-01 12:34:00,False,False,25.0,1.461474950888713
100004,2025-09-01,ACC00145,Institutional,SEC0333,Equity,BUY,9444.0,102.8064,102.841,BLK33334,0.2821,Fixed Income,TR011,2025-09-01 10:13:00,2025-09-01 10:39:00,False,False,26.0,-3.36441691543232
100005,2025-09-01,ACC00724,Retail-Advisory,SEC0003,Equity,SELL,16661.0,404.3699,404.3345,BLK33335,0.3884,Multi-Asset,TR005,2025-09-01 10:40:00,2025-09-01 11:03:00,False,False,23.0,0.8755127252307544
100006,2025-09-01,ACC00589,Family Office,SEC0188,Bond,BUY,14132.0,392.4569,392.5572,BLK33335,0.3265,Alternatives,TR017,2025-09-01 09:08:00,2025-09-01 09:21:00,False,False,13.0,-2.555041660170907
100007,2025-09-01,ACC00249,Retail-Advisory,SEC0164,ETF,SELL,12730.0,281.3432,281.2539,BLK33335,0.2906,Alternatives,TR006,2025-09-01 12:01:00,2025-09-01 12:28:00,False,False,27.0,3.1750670835155357
100008,2025-09-01,ACC00368,Family Office,SEC0163,Equity,SELL,1260.0,147.9189,147.8781,BLK33336,0.1728,Alternatives,TR016,2025-09-01 09:32:00,2025-09-01 09:59:00,False,False,27.0,2.7590292274527877
100009,2025-09-01,ACC00448,Family Office,SEC0278,Equity,BUY,551.0,54.134,54.1235,BLK33336,0.0695,Fixed Income,TR004,2025-09-01 13:09:00,2025-09-01 13:35:00,False,False,26.0,1.9400075752677484
100010,2025-09-01,ACC00446,Institutional,SEC0280,Equity,BUY,6100.0,318.6539,318.8385,BLK33336,0.7671,Fixed Income,TR022,2025-09-01 11:06:00,2025-09-01 11:17:00,False,False,11.0,-5.7897650377852425
