movement_id,account_id,movement_type,amount,movement_date,approver_1,approver_2,custodian_match_flag
1100001,ACC00799,Collateral Pledge,85768.45,2025-09-01,APPR004,APPR012,True
1100002,ACC00641,Collateral Return,5263.32,2025-09-01,APPR004,,True
1100003,ACC00069,Collateral Return,221597.63,2025-09-01,APPR011,,True
1100004,ACC00724,Wire In,954592.7,2025-09-01,APPR001,APPR013,True
1100005,ACC00871,Wire Out,55985.41,2025-09-01,APPR006,APPR005,True
1100006,ACC00725,Collateral Pledge,477892.45,2025-09-01,APPR011,,True
1100007,ACC00359,Wire Out,50011.53,2025-09-02,APPR007,APPR003,True
1100008,ACC00402,Collateral Return,108364.0,2025-09-02,APPR008,,True
1100009,ACC00464,Collateral Pledge,118500.26,2025-09-02,APPR010,,True
1100010,ACC00716,Collateral Pledge,18060.89,2025-09-02,APPR002,APPR009,True
1100011,ACC00142,Collateral Pledge,810265.58,2025-09-02,APPR003,APPR014,True
1100012,ACC00304,Collateral Return,78050.07,2025-09-02,APPR002,,True
1100013,ACC00072,Wire Out,18493.49,2025-09-02,APPR013,,True
1100014,ACC00253,Collateral Return,247436.64,2025-09-02,APPR005,APPR013,True
1100015,ACC00398,Collateral Return,206168.05,2025-09-02,APPR009,,True
1100016,ACC00780,Wire Out,35876.38,2025-09-02,APPR013,APPR008,True
1100017,ACC00578,Wire Out,147562.61,2025-09-02,APPR010,APPR005,True
1100018,ACC00520,Wire Out,377789.85,2025-09-02,APPR006,APPR010,True
1100019,ACC00518,Collateral Return,63199.06,2025-09-03,APPR005,,True
1100020,ACC00728,Wire Out,42665.87,2025-09-03,APPR009,,True
1100021,ACC00528,Collateral Return,38633.21,2025-09-03,APPR002,,True
1100022,ACC00198,Collateral Return,67719.18,2025-09-03,APPR014,,True
1100023,ACC00793,Wire Out,68677.51,2025-09-03,APPR013,,True
1100024,ACC00199,Collateral Pledge,44121.59,2025-09-03,APPR014,,True
1100025,ACC00674,Collateral Pledge,345598.62,2025-09-03,APPR006,APPR005,True
1100026,ACC00567,Collateral Return,28433.48,2025-09-03,APPR008,APPR004,True
1100027,ACC00391,Collateral Pledge,19423.49,2025-09-03,APPR007,APPR006,True
1100028,ACC00603,Wire In,406158.93,2025-09-03,APPR006,APPR004,True
1100029,ACC00416,Collateral Pledge,52986.56,2025-09-03,APPR003,,True
