fee_id,account_id,period,aum,fee_rate,calculated_fee,billed_fee,period_end_date,invoice_date
500001,ACC00001,2025-09,175163652.89,0.0035,51089.4,51052.77,2025-09-30,2025-10-03
500002,ACC00002,2025-09,53253980.08,0.0035,15532.41,15524.87,2025-09-30,2025-10-07
500003,ACC00003,2025-09,162629870.01,0.0075,101643.67,101590.78,2025-09-30,2025-10-04
500004,ACC00004,2025-09,210152174.9,0.006,105076.09,105131.49,2025-09-30,2025-10-03
500005,ACC00005,2025-09,61676788.21,0.0035,17989.06,17987.7,2025-09-30,2025-10-08
500006,ACC00006,2025-09,143606651.71,0.0075,89754.16,89804.99,2025-09-30,2025-10-06
500007,ACC00007,2025-09,13561471.21,0.0035,3955.43,3952.76,2025-09-30,2025-10-14
500008,ACC00008,2025-09,94380249.93,0.006,47190.12,47190.45,2025-09-30,2025-10-02
500009,ACC00009,2025-09,12017346.25,0.006,6008.67,6008.52,2025-09-30,2025-10-02
500010,ACC00010,2025-09,202675419.4,0.006,101337.71,101374.11,2025-09-30,2025-10-04
500011,ACC00011,2025-09,14452427.11,0.0035,4215.29,4217.06,2025-09-30,2025-10-02
500012,ACC00012,2025-09,5194239.06,0.006,2597.12,2597.57,2025-09-30,2025-10-11
500013,ACC00013,2025-09,138143169.92,0.0045,51803.69,51827.83,2025-09-30,2025-10-02
500014,ACC00014,2025-09,15729992.38,0.0035,4587.91,4584.38,2025-09-30,2025-10-12
500015,ACC00015,2025-09,110267749.41,0.0075,68917.34,68884.83,2025-09-30,2025-10-02
500016,ACC00016,2025-09,214486695.29,0.0035,62558.62,62529.94,2025-09-30,2025-10-06
500017,ACC00017,2025-09,39720879.48,0.0035,11585.26,11585.7,2025-09-30,2025-10-06
500018,ACC00018,2025-09,56803102.42,0.0075,35501.94,35517.73,2025-09-30,2025-10-08
500019,ACC00019,2025-09,110729311.42,0.0075,69205.82,69174.71,2025-09-30,2025-10-03
500020,ACC00020,2025-09,130197696.24,0.0045,48824.14,48818.66,2025-09-30,2025-10-17
500021,ACC00021,2025-09,30851058.89,0.0075,19281.91,19270.24,2025-09-30,2025-10-06
500022,ACC00022,2025-09,185624109.86,0.0075,116015.07,116056.55,2025-09-30,2025-10-04
500023,ACC00023,2025-09,200417965.24,0.0045,75156.74,75107.23,2025-09-30,2025-10-04
500024,ACC00024,2025-09,35172569.95,0.0075,21982.86,21965.16,2025-09-30,2025-10-05
500025,ACC00025,2025-09,129557484.18,0.006,64778.74,64781.23,2025-09-30,2025-10-05
500026,ACC00026,2025-09,129176983.94,0.0075,80735.61,80661.44,2025-09-30,2025-10-04
500027,ACC00027,2025-09,198002845.26,0.0045,74251.07,74250.5,2025-09-30,2025-10-03
500028,ACC00028,2025-09,178203498.85,0.0075,111377.19,111292.44,2025-09-30,2025-10-06
500029,ACC00029,2025-09,249856844.06,0.006,124928.42,124855.74,2025-09-30,2025-10-06
500030,ACC00030,2025-09,89093286.03,0.0045,33409.98,33404.26,2025-09-30,2025-10-06
500031,ACC00031,2025-09,51948920.04,0.0045,19480.85,19471.15,2025-09-30,2025-10-05
500032,ACC00032,2025-09,224771642.68,0.0035,65558.4,65540.56,2025-09-30,2025-10-08
500033,ACC00033,2025-09,189670866.52,0.0045,71126.57,71127.87,2025-09-30,2025-10-03
500034,ACC00034,2025-09,57961829.25,0.0045,21735.69,21728.89,2025-09-30,2025-10-02
500035,ACC00035,2025-09,220826144.45,0.0045,82809.8,82878.84,2025-09-30,2025-10-05
500036,ACC00036,2025-09,40343443.87,0.0035,11766.84,11772.09,2025-09-30,2025-10-03
500037,ACC00037,2025-09,68357241.61,0.0075,42723.28,42681.33,2025-09-30,2025-10-06
500038,ACC00038,2025-09,194305533.81,0.006,97152.77,97077.9,2025-09-30,2025-10-03
500039,ACC00039,2025-09,221313115.1,0.006,110656.56,110734.41,2025-09-30,2025-10-02
500040,ACC00040,2025-09,172392442.92,0.0075,107745.28,107757.17,2025-09-30,2025-10-03
500041,ACC00041,2025-09,247253644.69,0.0075,154533.53,154647.72,2025-09-30,2025-10-18
500042,ACC00042,2025-09,184178463.04,0.0035,53718.72,53720.32,2025-09-30,2025-10-03
500043,ACC00043,2025-09,28969966.58,0.0075,18106.23,18115.85,2025-09-30,2025-10-03
500044,ACC00044,2025-09,20539539.5,0.0045,7702.33,7703.68,2025-09-30,2025-10-02
500045,ACC00045,2025-09,50593666.56,0.0045,18972.62,18961.56,2025-09-30,2025-10-06
500046,ACC00046,2025-09,42361840.9,0.0035,12355.54,12364.0,2025-09-30,2025-10-04
500047,ACC00047,2025-09,95959641.92,0.0035,27988.23,27974.22,2025-09-30,2025-10-06
500048,ACC00048,2025-09,236310006.86,0.006,118155.0,118168.04,2025-09-30,2025-10-06
500049,ACC00049,2025-09,148308867.62,0.006,74154.43,74089.91,2025-09-30,2025-10-08
500050,ACC00050,2025-09,60669567.82,0.0045,22751.09,22742.59,2025-09-30,2025-10-05
500051,ACC00051,2025-09,105514287.06,0.0045,39567.86,39555.28,2025-09-30,2025-10-06
500052,ACC00052,2025-09,122853489.49,0.006,61426.74,61443.54,2025-09-30,2025-10-04
500053,ACC00053,2025-09,147557892.19,0.0035,43037.72,43002.23,2025-09-30,2025-10-16
500054,ACC00054,2025-09,81392392.74,0.006,40696.2,40704.3,2025-09-30,2025-10-02
500055,ACC00055,2025-09,170493554.22,0.0075,106558.47,106485.21,2025-09-30,2025-10-15
500056,ACC00056,2025-09,133061437.52,0.0045,49898.04,49859.81,2025-09-30,2025-10-14
500057,ACC00057,2025-09,209421561.54,0.0035,61081.29,61065.49,2025-09-30,2025-10-02
500058,ACC00058,2025-09,239241112.73,0.006,119620.56,119683.83,2025-09-30,2025-10-02
500059,ACC00059,2025-09,183663746.67,0.006,91831.87,91923.63,2025-09-30,2025-10-07
500060,ACC00060,2025-09,227641760.93,0.0045,85365.66,85339.94,2025-09-30,2025-10-12
500061,ACC00061,2025-09,60394653.85,0.006,30197.33,30175.45,2025-09-30,2025-10-05
500062,ACC00062,2025-09,121877351.16,0.0075,76173.34,76196.71,2025-09-30,2025-10-03
500063,ACC00063,2025-09,137957583.87,0.0035,40237.63,40253.68,2025-09-30,2025-10-06
500064,ACC00064,2025-09,3997959.02,0.0035,1166.07,1165.09,2025-09-30,2025-10-02
500065,ACC00065,2025-09,182037369.37,0.0035,53094.23,53068.01,2025-09-30,2025-10-04
500066,ACC00066,2025-09,13206151.78,0.0045,4952.31,4957.06,2025-09-30,2025-10-02
500067,ACC00067,2025-09,186055921.03,0.0035,54266.31,54237.23,2025-09-30,2025-10-16
500068,ACC00068,2025-09,25847879.18,0.0035,7538.96,7545.74,2025-09-30,2025-10-04
500069,ACC00069,2025-09,232087677.63,0.0075,145054.8,145109.25,2025-09-30,2025-10-06
500070,ACC00070,2025-09,50608146.8,0.006,25304.07,28182.66,2025-09-30,2025-10-02
500071,ACC00071,2025-09,196182863.52,0.0075,122614.29,122654.78,2025-09-30,2025-10-06
500072,ACC00072,2025-09,169071020.14,0.0035,49312.38,49339.27,2025-09-30,2025-10-03
500073,ACC00073,2025-09,194677199.73,0.0045,73003.95,73042.88,2025-09-30,2025-10-04
500074,ACC00074,2025-09,64570502.44,0.0075,40356.56,40360.95,2025-09-30,2025-10-02
500075,ACC00075,2025-09,101668135.94,0.0075,63542.58,63539.8,2025-09-30,2025-10-06
500076,ACC00076,2025-09,7683864.85,0.0045,2881.45,2879.07,2025-09-30,2025-10-07
500077,ACC00077,2025-09,3554653.17,0.0035,1036.77,1036.94,2025-09-30,2025-10-02
500078,ACC00078,2025-09,241799874.31,0.0045,90674.95,90669.36,2025-09-30,2025-10-06
500079,ACC00079,2025-09,110651171.37,0.0045,41494.19,41486.07,2025-09-30,2025-10-06
500080,ACC00080,2025-09,143196068.35,0.006,71598.03,71528.76,2025-09-30,2025-10-06
500081,ACC00081,2025-09,76185814.83,0.0035,22220.86,22215.62,2025-09-30,2025-10-04
500082,ACC00082,2025-09,97768793.19,0.0045,36663.3,36667.77,2025-09-30,2025-10-02
500083,ACC00083,2025-09,14374234.22,0.0035,4192.48,4195.51,2025-09-30,2025-10-04
500084,ACC00084,2025-09,38412024.51,0.006,19206.01,19211.76,2025-09-30,2025-10-07
500085,ACC00085,2025-09,103721640.86,0.0075,64826.03,64788.79,2025-09-30,2025-10-07
500086,ACC00086,2025-09,112604235.87,0.006,56302.12,56323.7,2025-09-30,2025-10-20
500087,ACC00087,2025-09,194455990.89,0.006,97228.0,97307.62,2025-09-30,2025-10-08
500088,ACC00088,2025-09,155942385.62,0.0035,45483.2,45487.86,2025-09-30,2025-10-06
500089,ACC00089,2025-09,241780552.63,0.0045,90667.71,90738.72,2025-09-30,2025-10-07
500090,ACC00090,2025-09,212872653.82,0.0035,62087.86,62053.53,2025-09-30,2025-10-02
500091,ACC00091,2025-09,181825253.54,0.0075,113640.78,113539.38,2025-09-30,2025-10-06
500092,ACC00092,2025-09,243560434.37,0.0045,91335.16,91406.83,2025-09-30,2025-10-02
500093,ACC00093,2025-09,197489632.44,0.0045,74058.61,74040.16,2025-09-30,2025-10-16
500094,ACC00094,2025-09,71653038.18,0.0035,20898.8,20910.88,2025-09-30,2025-10-04
500095,ACC00095,2025-09,142242751.15,0.006,71121.38,71103.99,2025-09-30,2025-10-03
500096,ACC00096,2025-09,75309831.19,0.006,37654.92,37650.27,2025-09-30,2025-10-03
500097,ACC00097,2025-09,247966214.5,0.0045,92987.33,92965.07,2025-09-30,2025-10-04
500098,ACC00098,2025-09,168233083.42,0.006,84116.54,84058.63,2025-09-30,2025-10-03
500099,ACC00099,2025-09,80094172.49,0.006,40047.09,40026.74,2025-09-30,2025-10-02
500100,ACC00100,2025-09,225341317.04,0.006,112670.66,112714.85,2025-09-30,2025-10-08
500101,ACC00101,2025-09,249289387.52,0.006,124644.69,124677.24,2025-09-30,2025-10-08
500102,ACC00102,2025-09,63943847.96,0.0035,18650.29,18663.62,2025-09-30,2025-10-04
500103,ACC00103,2025-09,135804204.87,0.0035,39609.56,39600.28,2025-09-30,2025-10-03
500104,ACC00104,2025-09,96136213.02,0.0035,28039.73,28025.59,2025-09-30,2025-10-05
500105,ACC00105,2025-09,230815690.5,0.0045,86555.88,86625.22,2025-09-30,2025-10-07
500106,ACC00106,2025-09,183665407.82,0.0045,68874.53,68825.58,2025-09-30,2025-10-04
500107,ACC00107,2025-09,198957358.82,0.0075,124348.35,124371.41,2025-09-30,2025-10-05
