price_id,fund_id,price_date,price,prior_price,independent_source_price,break_identified_date,break_resolved_date
900001,FUND001,2025-09-01,31.6422,31.5964,31.6177,,
900002,FUND002,2025-09-01,140.0621,140.5659,139.9764,,
900003,FUND003,2025-09-01,204.621,203.8246,204.7015,,
900004,FUND004,2025-09-01,78.5341,78.9984,78.535,,
900005,FUND005,2025-09-01,196.9084,197.0333,196.9637,,
900006,FUND006,2025-09-01,219.3222,218.3088,219.3305,,
900007,FUND007,2025-09-01,171.8559,171.5824,171.8832,,
900008,FUND008,2025-09-01,56.0171,55.7399,56.0452,,
900009,FUND009,2025-09-01,205.0286,206.3392,204.9552,,
900010,FUND010,2025-09-01,121.6383,121.6493,121.6507,,
900011,FUND011,2025-09-01,143.5394,143.4852,143.5836,,
900012,FUND012,2025-09-01,155.5496,155.0115,155.5889,,
900013,FUND013,2025-09-01,170.2127,170.9804,170.4382,,
900014,FUND014,2025-09-01,124.1022,124.706,122.7783,2025-09-01,2025-09-02
900015,FUND015,2025-09-01,153.932,153.7231,153.7955,,
900016,FUND016,2025-09-01,27.8546,28.0466,27.8579,,
900017,FUND017,2025-09-01,23.5899,23.5989,23.5857,,
900018,FUND018,2025-09-01,242.3509,240.7289,242.0998,,
900019,FUND019,2025-09-01,154.801,154.3311,154.7705,,
900020,FUND020,2025-09-01,133.2771,131.6699,133.2671,,
900021,FUND001,2025-09-02,31.6761,31.6422,31.6684,,
900022,FUND002,2025-09-02,140.3208,140.0621,140.4341,,
900023,FUND003,2025-09-02,205.2859,204.621,205.4081,,
900024,FUND004,2025-09-02,78.7869,78.5341,78.7827,,
900025,FUND005,2025-09-02,198.0331,196.9084,198.1605,,
900026,FUND006,2025-09-02,220.1588,219.3222,220.2202,,
900027,FUND007,2025-09-02,172.9173,171.8559,173.0289,,
900028,FUND008,2025-09-02,56.0674,56.0171,56.0713,,
900029,FUND009,2025-09-02,204.8329,205.0286,204.9479,,
900030,FUND010,2025-09-02,121.0806,121.6383,121.0207,,
